[2024-01-11 22:43:47.225] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:47.225] $GNRMC,235949.012,V,,,,,,,050180,,,N,V*26
[2024-01-11 22:43:47.233] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:48.193] $GNGGA,235950.012,,,,,0,0,,,M,,M,,*5D
[2024-01-11 22:43:48.201] $GNGLL,,,,,235950.012,V,N*6F
[2024-01-11 22:43:48.201] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:48.206] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:48.211] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:48.211] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:48.216] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:48.216] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:48.221] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:48.221] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:48.221] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:48.221] $GNRMC,235950.012,V,,,,,,,050180,,,N,V*2E
[2024-01-11 22:43:48.226] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:43:49.194] $GNGGA,235951.012,,,,,0,0,,,M,,M,,*5C
[2024-01-11 22:43:49.202] $GNGLL,,,,,235951.012,V,N*6E
[2024-01-11 22:43:49.208] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:43:49.208] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:43:49.214] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:43:49.214] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:43:49.214] $GPGSV,1,1,00,1*64
[2024-01-11 22:43:49.220] $GLGSV,1,1,00,1*78
[2024-01-11 22:43:49.220] $GAGSV,1,1,00,7*73
[2024-01-11 22:43:49.220] $GBGSV,1,1,00,1*76
[2024-01-11 22:43:49.220] $GBGSV,1,1,00,3*74
[2024-01-11 22:43:49.225] $GNRMC,235951.012,V,,,,,,,050180,,,N,V*2F
[2024-01-11 22:43:49.230] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:45:09.684] 
[2024-01-11 22:45:09.684] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:45:09.689] 
[2024-01-11 22:45:09.689] $PAIR007**$PA
[2024-01-11 22:45:13.128] Hello nemo2.space tracker p gnss relay
[2024-01-11 22:45:13.137] 
[2024-01-11 22:45:13.137] $PAIR007**$PA$PAIR001,007,1*3D
[2024-01-11 22:50:02.073] $PAIR001,007,0*3C
[2024-01-11 22:50:02.077] $PAIR001,021,0*38
[2024-01-11 22:50:02.077] $PAIR021,AG3352Q_V2.3.0.AG3352_20230213,S,N,2b31f59,2209141904,,,,,d32ef91c,2209141902,571d3e7,2209141904,,,-15.48,-15.48,-14.02,-15.48,0,1,##,0,0*34
[2024-01-11 22:50:02.331] $PAIR011,001*27
[2024-01-11 22:50:02.336] $PAIR001,752,0*3B
[2024-01-11 22:50:02.341] $PAIR010,1,-1*16
[2024-01-11 22:50:02.341] $PAIR010,2,-1*15
[2024-01-11 22:50:02.383] $GNGGA,235942.013,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:50:02.389] $GNGLL,,,,,235942.013,V,N*6D
[2024-01-11 22:50:02.394] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:50:02.398] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:50:02.398] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:50:02.404] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:50:02.404] $GPGSV,1,1,00,1*64
[2024-01-11 22:50:02.409] $GLGSV,1,1,00,1*78
[2024-01-11 22:50:02.409] $GAGSV,1,1,00,7*73
[2024-01-11 22:50:02.409] $GBGSV,1,1,00,1*76
[2024-01-11 22:50:02.409] $GBGSV,1,1,00,3*74
[2024-01-11 22:50:02.414] $GNRMC,235942.013,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:50:02.418] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:50:03.356] $GNGGA,235943.012,,,,,0,0,,,M,,M,,*5F
[2024-01-11 22:50:03.364] $GNGLL,,,,,235943.012,V,N*6D
[2024-01-11 22:50:03.364] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:50:03.370] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:50:03.375] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:50:03.375] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:50:03.375] $GPGSV,1,1,00,1*64
[2024-01-11 22:50:03.379] $GLGSV,1,1,00,1*78
[2024-01-11 22:50:03.379] $GAGSV,1,1,00,7*73
[2024-01-11 22:50:03.379] $GBGSV,1,1,00,1*76
[2024-01-11 22:50:03.384] $GBGSV,1,1,00,3*74
