messageGuid,deviceGuid,createdDate,receivedDate,latitude,longitude,data,messageSize,callbackDeliveryStatus
3ad3b8ab-c705-409c-a8d3-26d663f3f021,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 12:39:16,02/20/2024 15:31:45,52.278266,20.809099,NCwxLjYsMzYsMSw1MjI3ODI2NjAsMjA4MDkwOTkw,38,4
a5726929-215c-4e0c-b629-c5387c23ec1d,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 13:39:23,02/20/2024 15:31:45,52.278155,20.809203,NSwxLjQsNywxLDUyMjc4MTU1MCwyMDgwOTIwMzA=,37,4
7486fe4b-09d4-4991-9ebd-80dadfac897c,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 19:08:00,02/20/2024 20:58:24,52.278096,20.810009,MTAsMS41LDExLDMsNTIyNzgwOTYwLDIwODEwMDA5MA==,39,4
f3a320e3-9479-4f08-a8d1-6abdce441491,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 20:08:03,02/20/2024 20:58:25,52.2790139,20.807941,MTEsMS40LDMsMyw1MjI3OTAxMzksMjA4MDc5NDEw,38,4
8ddc9d19-a398-4b56-8d06-3e18287e557c,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 16:07:30,02/20/2024 21:53:28,52.2783159,20.809206,NywxLjQsNDAsMiw1MjI3ODMxNTksMjA4MDkyMDYw,38,4
b94081b7-4a91-42b0-a8fe-52811d62978f,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 17:07:35,02/20/2024 21:53:29,52.278244,20.809281,OCwxLjQsNiwyLDUyMjc4MjQ0MCwyMDgwOTI4MTA=,37,4
22d6c638-f8c1-40ed-a230-81a78725a5d9,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 18:07:50,02/20/2024 21:53:29,52.278022,20.80995,OSwxLjQsMTYsMyw1MjI3ODAyMjAsMjA4MDk5NTAw,38,4
07ce2e02-ec5a-48ad-9678-a81b10a8c075,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 21:56:20,02/20/2024 22:23:56,52.277562,20.808921,MTIsMS45LDExLDMsNTIyNzc1NjIwLDIwODA4OTIxMA==,39,4
ad4aaeb7-92d6-438a-819c-cd7533a385d6,37e91959-2b3c-464c-866a-acc75e5f5bba,02/21/2024 01:19:36,02/21/2024 01:23:31,52.278957,20.809466,MTQsMS40LDEwLDMsNTIyNzg5NTcwLDIwODA5NDY2MA==,39,4
105251ae-e043-4c70-b31d-cbd2344b44fd,37e91959-2b3c-464c-866a-acc75e5f5bba,02/20/2024 23:20:02,02/21/2024 01:55:41,52.278364,20.809284,MTMsMS4zLDcsMyw1MjI3ODM2NDAsMjA4MDkyODQw,38,4
